,map,target,actions,rewards,positions,end_condition
0,straight_hallway,"(0.9075332014972399, 5.5)","[2, 2, 2, 2, 2, 2, 2, 2]","[-9.975784420967102, -9.747258424758911, -9.522292017936707, -9.212782263755798, -9.101365447044373, -8.819538950920105, -8.53848659992218, -198.61028385162354]","[(0.8608591528936189, 3.5, 0.6774779026040352), (0.8306975364685059, 3.4757332801818848, 0.33229796473589085), (0.7862858772277832, 3.4400014877319336, 0.33229796473589085), (0.7418742179870605, 3.4042696952819824, 0.33229796473589085), (0.6974625587463379, 3.3685379028320312, 0.33229796473589085), (0.6518821120262146, 3.3318657875061035, 0.33229796473589085), (0.6063016653060913, 3.295193672180176, 0.33229796473589085), (0.560721218585968, 3.258521556854248, 0.33229796473589085), (0.5293821692466736, 3.2347121238708496, 0.32210894413704816)]",collision
1,left_door,"(2.30166859467934, 5.5)","[3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[-4.250543236732483, -4.0260204672813416, -4.103416919708252, -4.185746073722839, -4.236838698387146, -4.193207859992981, -4.1977537870407104, -10.077834010124207, -9.880509376525879, -9.7130868434906, -3.6010072231292725, -3.202730894088745, -2.6293859481811523, -2.100772500038147, -2.4075777530670166, -2.615054488182068, -2.60899555683136, -2.472246766090393, -2.1797460317611694, -1.8577449321746826, -2.1633479595184326, -2.688977837562561, -2.932856559753418, 2.0, 0.3103811740875244, -3.136409282684326, -4.322347164154053, -4.396761536598206, -10.309785842895508, -10.223738312721252, -4.288622558116913, -4.363455176353455, -4.360468864440918, -4.418239176273346, -79.42606151103973, -4.3187034130096436, -4.221752941608429, -4.188776791095734, -3.96134877204895, -3.907082200050354, -4.027662456035614, -4.063894212245941, -3.990127682685852, -3.936017155647278, -9.698905110359192, -3.538240909576416, -3.06814706325531, -2.512146472930908, -2.652864933013916, -2.8044660091400146, -2.906528949737549, -2.87728214263916, -2.5672121047973633, -2.272414445877075, -1.9134373664855957, -2.2374359369277954, -2.7247352600097656, -2.8917369842529297, 2.0, 0.08055663108825684, -3.026045322418213, -4.093079566955566, -4.2225289940834045, -10.17844671010971, -10.032203137874603, -4.176397442817688, -4.238309621810913, -154.31611716747284, -4.2573113441467285, -4.262167751789093, -4.19246780872345, -4.0992817878723145, -3.922333300113678, -3.870616912841797, -4.031505048274994, -4.132524192333221, -4.0732380747795105, -4.064699351787567, -3.9717721343040466, -3.6476868391036987, -3.33809757232666, -2.949471116065979, -3.0201305150985718, -3.2474552392959595, -3.1830726861953735, -3.1716214418411255, -2.7831850051879883, -2.536350965499878, -1.9757012128829956, -2.1536954641342163, -2.4629621505737305, -2.5758293867111206, 1.9675471782684326, -1.0523245334625244, -2.9667333364486694, -3.6984609365463257, -4.173107862472534, -229.20706450939178, -4.241304457187653, -4.311158835887909, -4.241335332393646, -4.183566689491272, -4.058315694332123, -3.935346484184265, -3.817310929298401, -4.030578434467316, -4.055666625499725, -4.137601315975189, -4.044142127037048, -4.015118598937988, -3.652655243873596, -3.306557059288025, -2.9307059049606323, -3.0769240856170654, -3.1868956089019775, -3.241541862487793, -3.1320842504501343, -2.8611621856689453, -2.591691255569458, -1.9717769622802734, -2.145760416984558, -2.467988967895508, -2.624601125717163, 1.8319449424743652, -1.188751220703125, -3.0151911973953247, -3.7568620443344116, -304.16792833805084, -4.199578583240509, -4.254635989665985, -4.303532600402832, -4.2819958329200745, -4.2347928285598755, -4.160621464252472, -4.024697959423065, -3.831228017807007, -4.044363856315613, -4.064790844917297, -4.066519737243652, -4.055603802204132, -3.992691397666931, -3.784501791000366, -3.4085400104522705, -2.995402455329895, -3.036236047744751, -3.226995825767517, -3.2365628480911255, -3.1008193492889404, -299.0239357948303]","[(1.9672041770303446, 3.5, 3.745609045130652), (1.967178463935852, 3.5000603199005127, 0.9238566888410737), (1.967186689376831, 3.5000739097595215, 0.8812737979712251), (1.967193603515625, 3.500089168548584, 0.829976110018017), (1.9671980142593384, 3.5001063346862793, 0.7687998747631892), (1.9672000408172607, 3.500124931335449, 0.6996157490193122), (1.9671990871429443, 3.5001373291015625, 0.645407273827606), (1.9671961069107056, 3.500150442123413, 0.5877313795818115), (1.9500257968902588, 3.5510432720184326, 0.5827717201171346), (1.9317430257797241, 3.6050312519073486, 0.5827717201171346), (1.9134602546691895, 3.6590192317962646, 0.5827717201171346), (1.912340760231018, 3.662130355834961, 0.5044713990699109), (1.9123327732086182, 3.6621451377868652, 0.41622335230075164), (1.9123239517211914, 3.6621577739715576, 0.3213841203199339), (1.9123129844665527, 3.6621670722961426, 0.22319426606247486), (1.912299633026123, 3.66217303276062, 0.12267855286767552), (1.912283182144165, 3.662174940109253, 0.020884815241941936), (1.9122658967971802, 3.6621737480163574, -0.07851911089897964), (1.9122508764266968, 3.6621692180633545, -0.17972118319919672), (1.9122391939163208, 3.662161350250244, -0.2765399233162356), (1.9122291803359985, 3.6621503829956055, -0.37062372592705717), (1.912221074104309, 3.662137508392334, -0.4587171050572269), (1.912212610244751, 3.6621222496032715, -0.546898875338795), (1.9122074842453003, 3.6621055603027344, -0.6273469612494162), (1.9122053384780884, 3.662088394165039, -0.7015904989066908), (1.9122065305709839, 3.6620709896087646, -0.7688951169337351), (1.9122121334075928, 3.6620538234710693, -0.8300558598505007), (1.912221074104309, 3.6620376110076904, -0.8837994557582072), (1.9122295379638672, 3.6620235443115234, -0.9268812429451202), (1.9523087739944458, 3.6240503787994385, -0.9291597071708266), (1.994820237159729, 3.583862781524658, -0.9291597071708266), (1.9994453191757202, 3.5795769691467285, -0.9580899454657872), (1.9994609355926514, 3.57956862449646, -0.9818034827249303), (1.9994781017303467, 3.5795648097991943, -0.9958093163297701), (1.9994961023330688, 3.5795645713806152, -0.999968823317054), (1.999512791633606, 3.5795671939849854, -0.9942406710576097), (1.99953031539917, 3.579572916030884, -0.9781406071180525), (1.9995449781417847, 3.5795814990997314, -0.9526522089039443), (1.9995582103729248, 3.5795934200286865, -0.9167014545084946), (1.999568223953247, 3.579608201980591, -0.8724854147718958), (1.9995719194412231, 3.5796151161193848, -0.8484994903600195), (1.9995793104171753, 3.5796422958374023, -0.7569872766350028), (1.9995797872543335, 3.579659938812256, -0.6883492542722055), (1.9995769262313843, 3.5796775817871094, -0.6108342687067533), (1.9995702505111694, 3.579693555831909, -0.5291818775298798), (1.9751571416854858, 3.6275391578674316, -0.5217503158206568), (1.9735978841781616, 3.6304516792297363, -0.45166283452003425), (1.973589539527893, 3.6304638385772705, -0.36082325567800205), (1.9735792875289917, 3.63047456741333, -0.2638909237115392), (1.973567008972168, 3.630481004714966, -0.1667905823422918), (1.973551630973816, 3.630484104156494, -0.06542946843819351), (1.9735345840454102, 3.630483865737915, 0.033996403763404966), (1.9735196828842163, 3.6304800510406494, 0.1304915918597575), (1.9735066890716553, 3.6304736137390137, 0.23086035322095766), (1.9734971523284912, 3.630465030670166, 0.32139881792968567), (1.9734928607940674, 3.6304595470428467, 0.36808406928075776), (1.973484992980957, 3.630446195602417, 0.4586106166100708), (1.9734745025634766, 3.6304235458374023, 0.5792404483980191), (1.9734705686569214, 3.630406379699707, 0.6593054159741428), (1.9734702110290527, 3.63038969039917, 0.7289294771333282), (1.9734736680984497, 3.630371570587158, 0.7949064988650024), (1.9734796285629272, 3.6303558349609375, 0.8498569855104503), (1.9734861850738525, 3.6303415298461914, 0.896840819606166), (1.9734946489334106, 3.630328416824341, 0.9372546842124074), (2.013737916946411, 3.5970611572265625, 0.9411520531274823), (2.0577151775360107, 3.5607950687408447, 0.9411520531274823), (2.060297727584839, 3.5587451457977295, 0.9542165288240989), (2.0603229999542236, 3.5587339401245117, 0.9888733500474393), (2.06033992767334, 3.5587310791015625, 0.9987584999721373), (2.0603578090667725, 3.5587313175201416, 0.998634618846259), (2.0603749752044678, 3.5587353706359863, 0.9885093524929389), (2.060392141342163, 3.5587432384490967, 0.9679555312910952), (2.060405731201172, 3.55875301361084, 0.9391325358464123), (2.060417652130127, 3.558764696121216, 0.9015054562636292), (2.060426950454712, 3.558779716491699, 0.854067771028968), (2.0604336261749268, 3.5587968826293945, 0.7966052733186473), (2.0604357719421387, 3.558814287185669, 0.7326305281073824), (2.0604348182678223, 3.558828830718994, 0.67311005308403), (2.0604305267333984, 3.5588464736938477, 0.5942305601422915), (2.060422897338867, 3.5588631629943848, 0.5091622449640221), (2.060412883758545, 3.558877944946289, 0.4187910813040443), (2.0604021549224854, 3.5588889122009277, 0.33641300837106236), (2.060386896133423, 3.5588982105255127, 0.23868140152925008), (2.060370922088623, 3.5589048862457275, 0.1384639636576825), (2.0603528022766113, 3.5589072704315186, 0.0368044443538882), (2.060335159301758, 3.558906078338623, -0.06523838772258805), (2.060319185256958, 3.55890154838562, -0.16143607109891114), (2.060302972793579, 3.558893918991089, -0.2611787627197201), (2.060288429260254, 3.5588839054107666, -0.35820131666527666), (2.0602829456329346, 3.5588772296905518, -0.40417934914009257), (2.0602688789367676, 3.558854103088379, -0.5400829638655413), (2.060265302658081, 3.5588462352752686, -0.5812601553419781), (2.0602614879608154, 3.558819532394409, -0.699523660838759), (2.0602638721466064, 3.5588016510009766, -0.7687141005555361), (2.060269355773926, 3.5587852001190186, -0.828435127692389), (2.0602774620056152, 3.558769464492798, -0.8812051076330859), (2.060281753540039, 3.558763027191162, -0.9013642789127294), (2.060300588607788, 3.558746576309204, -0.9557289356205678), (2.060316562652588, 3.5587384700775146, -0.9807419267865616), (2.0603339672088623, 3.5587337017059326, -0.9955406377523895), (2.0603513717651367, 3.5587329864501953, -0.999970942160977), (2.0603694915771484, 3.5587353706359863, -0.9939866990558037), (2.0603859424591064, 3.558741569519043, -0.9776502334320522), (2.06040096282959, 3.5587494373321533, -0.951131687131122), (2.060413122177124, 3.5587613582611084, -0.9157620237215426), (2.0604186058044434, 3.5587680339813232, -0.8946557013693013), (2.0604302883148193, 3.558793306350708, -0.813758430663376), (2.060431718826294, 3.5588018894195557, -0.7838543695549577), (2.0604333877563477, 3.5588293075561523, -0.6789964229006065), (2.0604302883148193, 3.558846950531006, -0.6006367228268926), (2.0604236125946045, 3.558863401412964, -0.5160214812922717), (2.0604145526885986, 3.5588769912719727, -0.4307637080852119), (2.0604021549224854, 3.558889627456665, -0.33654112513137685), (2.060386896133423, 3.558898687362671, -0.23881351679106314), (2.0603699684143066, 3.558905601501465, -0.13859870146034023), (2.060351848602295, 3.5589075088500977, -0.03694040142336687), (2.0603344440460205, 3.5589065551757812, 0.062490124813852146), (2.0603175163269043, 3.5589022636413574, 0.1613027457444201), (2.0603010654449463, 3.558894634246826, 0.2610483535433963), (2.0602872371673584, 3.5588836669921875, 0.35807518185914916), (2.0602810382843018, 3.55887770652771, 0.40405577595688735), (2.0602662563323975, 3.5588550567626953, 0.5421691978085785), (2.0602617263793945, 3.558837652206421, 0.6249863348592588), (2.06026029586792, 3.5588293075561523, 0.6630267677733656), (2.0602617263793945, 3.5588021278381348, 0.7702984555320712), (2.060267925262451, 3.558784246444702, 0.8312800351928823), (2.0602757930755615, 3.5587687492370605, 0.8836039578571332), (2.0602874755859375, 3.55875563621521, 0.9267252777111828), (2.0603020191192627, 3.558744430541992, 0.9601948926706191), (2.060317277908325, 3.5587375164031982, 0.9831896070457721), (2.0603349208831787, 3.5587332248687744, 0.9966790808620682), (2.0603532791137695, 3.558732509613037, 0.9997882914067359), (2.0603678226470947, 3.558734893798828, 0.9942843806056095), (2.0603842735290527, 3.5587410926818848, 0.9787652673648981), (2.0604000091552734, 3.5587494373321533, 0.952776376927989), (2.0604066848754883, 3.558755397796631, 0.9364992678250073), (2.060422658920288, 3.5587756633758545, 0.872684779966868), (2.060429811477661, 3.5587921142578125, 0.8183743217047565), (2.0604331493377686, 3.5588083267211914, 0.7606621120553564), (2.0604333877563477, 3.558826446533203, 0.6924308049815622), (2.0604312419891357, 3.558842182159424, 0.6214630614990228), (2.060425281524658, 3.5588581562042236, 0.5427836229198425), (2.0604169368743896, 3.5588743686676025, 0.4543571137719273), (2.0604045391082764, 3.5588877201080322, 0.361198543370945), (2.060389995574951, 3.5588979721069336, 0.264278144267512), (2.0603740215301514, 3.5589041709899902, 0.16718688835683992), (2.060356616973877, 3.5589072704315186, 0.06583055171689668), (2.0603384971618652, 3.5589072704315186, -0.03621140025425919), (2.0603220462799072, 3.558903932571411, -0.1300935411455848), (2.0603060722351074, 3.5588982105255127, -0.22792202156098362)]",time out
2,center_door,"(3.705510134974084, 5.5)","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[-3.446998119354248, -4.106856882572174, -4.196271181106567, -4.289029598236084, -4.348645329475403, -4.3576430678367615, -4.386763751506805, -4.300178945064545, -4.233668804168701, -4.046824395656586, -4.045283198356628, -4.113344311714172, -4.216212630271912, -4.186493098735809, -4.183156073093414, -10.069138884544373, -9.833288431167603, -3.7469881772994995, -9.558512568473816, -3.198739171028137, -2.6849989891052246, -2.352587103843689, -2.6604461669921875, -2.8049542903900146, -2.8622169494628906, -2.713934302330017, -2.4538768529891968, -1.9868035316467285, -2.0380046367645264, -0.5166513919830322, 2.0, -0.5439579486846924, -78.03464376926422, -3.0097512006759644, -3.654376983642578, -4.255810260772705, -4.340375661849976, -4.431031763553619, -4.459397315979004, -4.457165598869324, -4.451049029827118, -4.39960378408432, -4.4005690813064575, -4.287633180618286, -4.1188048124313354, -3.7469916343688965, -3.663699984550476, -3.72545063495636, -3.803885340690613, -3.5911905765533447, -3.4384454488754272, -2.9656665325164795, -2.4133716821670532, -2.431134581565857, -2.7521432638168335, -2.825077533721924, -2.741932511329651, -2.6029685735702515, -2.1903269290924072, -1.9950025081634521, -2.346103549003601, 1.4680640697479248, -148.0, -2.999041795730591, -2.957164764404297, -3.313294291496277, -4.197053015232086, -4.339045941829681, -4.40876430273056, -4.403140485286713, -4.489714503288269, -4.540492087602615, -4.498968780040741, -4.45596569776535, -4.384783625602722, -4.184589326381683, -4.085235059261322, -3.63932728767395, -3.717126727104187, -3.800597310066223, -3.6875643730163574, -3.53253710269928, -3.1318448781967163, -2.5591914653778076, -2.4004392623901367, -2.6738747358322144, -2.7747734785079956, -2.8391599655151367, -2.6613048315048218, -2.485278606414795, -2.0423260927200317, -2.0425121784210205, -225.6201171875, 2.0, -0.5847063064575195, -2.9759150743484497, -2.9475103616714478, -4.011533975601196, -4.21916127204895, -4.336713016033173, -4.4351919293403625, -4.508969575166702, -4.518674343824387, -4.479999780654907, -4.539759933948517, -4.358874142169952, -4.320576727390289, -4.145131170749664, -4.0143901109695435, -3.574840545654297, -3.702913999557495, -3.7198028564453125, -3.6626172065734863, -3.534699320793152, -3.2410181760787964, -2.6989169120788574, -2.2575314044952393, -2.6544623374938965, -2.814470052719116, -2.850631356239319, -2.7166690826416016, -2.3971545696258545, -301.9276604652405, -2.1189790964126587, -0.7155653238296509, 2.0, -0.48034536838531494, -3.0281383991241455, -3.0402270555496216, -4.036640763282776, -4.303499817848206, -4.405280411243439, -4.433673799037933, -4.406074702739716, -4.456394195556641, -4.427854955196381, -4.393520414829254, -4.362841188907623, -4.233882188796997, -4.013120651245117, -3.846465587615967, -3.65431809425354, -3.759683847427368, -3.7584948539733887, -3.601473808288574, -3.3950740098953247, -2.8635201454162598, -2.4053640365600586, -298.5780292749405]","[(3.5208558086584247, 3.5, 1.995883028836904), (3.52091383934021, 3.500016212463379, 0.8860333613208539), (3.520925283432007, 3.500002861022949, 0.9286729219368701), (3.5209388732910156, 3.4999921321868896, 0.9609185894627403), (3.5209550857543945, 3.4999847412109375, 0.9841300448461329), (3.520972490310669, 3.49998140335083, 0.9968882345327835), (3.5209906101226807, 3.499980926513672, 0.9997311169589752), (3.521007776260376, 3.4999828338623047, 0.9924851329036994), (3.521024703979492, 3.4999887943267822, 0.9754247633743387), (3.5210394859313965, 3.4999961853027344, 0.9495432881936906), (3.521052598953247, 3.5000081062316895, 0.9126313950432808), (3.5210626125335693, 3.500021457672119, 0.86751780957654), (3.5210700035095215, 3.500037670135498, 0.812301610107692), (3.521073579788208, 3.5000550746917725, 0.7486242659110155), (3.521073818206787, 3.500072717666626, 0.6790732761722155), (3.521070957183838, 3.5000905990600586, 0.6007160372396811), (3.505549430847168, 3.551510810852051, 0.5958142409379484), (3.4885804653167725, 3.6074962615966797, 0.5958142409379484), (3.487126588821411, 3.6120779514312744, 0.5183422362456329), (3.4622178077697754, 3.657966375350952, 0.5108518484752594), (3.4598658084869385, 3.6621580123901367, 0.4284779519809811), (3.4598543643951416, 3.662170886993408, 0.33415081733553864), (3.459841012954712, 3.662179708480835, 0.2439667944579821), (3.4598326683044434, 3.6621835231781006, 0.19544503332468705), (3.459805965423584, 3.6621897220611572, 0.04223464175505255), (3.4597885608673096, 3.6621897220611572, -0.05720694044352502), (3.459770679473877, 3.6621854305267334, -0.1586687128464011), (3.45975399017334, 3.6621785163879395, -0.25847776617314716), (3.459739923477173, 3.6621687412261963, -0.3506950350084572), (3.4597277641296387, 3.662156820297241, -0.4443207614936246), (3.459718942642212, 3.662142038345337, -0.5311027943749929), (3.4597160816192627, 3.6621341705322266, -0.5725766257821505), (3.459712266921997, 3.662116765975952, -0.6531585505301315), (3.4597127437591553, 3.6620898246765137, -0.7601824613938651), (3.4597179889678955, 3.6620728969573975, -0.8209504553784973), (3.4597253799438477, 3.662057399749756, -0.874871116665168), (3.459728479385376, 3.6620521545410156, -0.8920320032495327), (3.459747314453125, 3.6620335578918457, -0.9509454639557711), (3.4597630500793457, 3.662024974822998, -0.9775233826431379), (3.459771156311035, 3.662022352218628, -0.9867964346279392), (3.4597978591918945, 3.6620190143585205, -0.9999411813511906), (3.459815740585327, 3.662020444869995, -0.9958396543451674), (3.459831476211548, 3.662024974822998, -0.9823591779946521), (3.459846258163452, 3.662031650543213, -0.9604014684892027), (3.459860324859619, 3.662043571472168, -0.9270037879603726), (3.4598708152770996, 3.6620564460754395, -0.8851723409478379), (3.4598782062530518, 3.662071943283081, -0.8345870384561168), (3.4598824977874756, 3.662088632583618, -0.7757495855099179), (3.459883689880371, 3.6621041297912598, -0.7110853952656879), (3.4598820209503174, 3.662121534347534, -0.6377399903259099), (3.459876775741577, 3.6621387004852295, -0.558088521826709), (3.4598686695098877, 3.6621553897857666, -0.4706124892930673), (3.45985746383667, 3.6621687412261963, -0.37823351552478784), (3.459843397140503, 3.6621789932250977, -0.2844264393859664), (3.4598357677459717, 3.6621828079223633, -0.2364079264776533), (3.4598095417022705, 3.6621901988983154, -0.08672089718117905), (3.4598002433776855, 3.662191390991211, -0.03708162324426628), (3.4597744941711426, 3.662189245223999, 0.10929184221448901), (3.4597573280334473, 3.6621828079223633, 0.21003240885911703), (3.4597418308258057, 3.6621744632720947, 0.308583251609204), (3.459728479385376, 3.6621620655059814, 0.4039221408342967), (3.4597179889678955, 3.6621477603912354, 0.4950542807522427), (3.4597115516662598, 3.6621310710906982, 0.5810305526401449), (3.4597082138061523, 3.662114143371582, 0.6589894998805577), (3.459707736968994, 3.6621060371398926, 0.6955706390284222), (3.4597089290618896, 3.6620876789093018, 0.7634849123616106), (3.4597175121307373, 3.662061929702759, 0.8537499856077156), (3.4597268104553223, 3.6620471477508545, 0.9012408207522311), (3.459740400314331, 3.662034511566162, 0.9407119276277615), (3.459756374359131, 3.662024736404419, 0.9710134950698309), (3.4597690105438232, 3.6620194911956787, 0.9867732307149917), (3.459775447845459, 3.662018299102783, 0.9926960860674571), (3.4598031044006348, 3.6620166301727295, 0.9994383664896122), (3.459819793701172, 3.662019968032837, 0.991512683242434), (3.45983624458313, 3.6620259284973145, 0.9736985902607239), (3.4598512649536133, 3.6620354652404785, 0.9454066253638949), (3.4598639011383057, 3.662048816680908, 0.9072683921361091), (3.4598731994628906, 3.6620640754699707, 0.8610154193604833), (3.4598796367645264, 3.662081241607666, 0.8046972736449797), (3.4598824977874756, 3.6620991230010986, 0.7399983264109252), (3.4598820209503174, 3.6621174812316895, 0.6675924074984183), (3.4598777294158936, 3.6621346473693848, 0.5903486162287098), (3.4598708152770996, 3.662151575088501, 0.5050096728902687), (3.4598658084869385, 3.662158727645874, 0.46147081130185724), (3.459846019744873, 3.6621782779693604, 0.31949655626895074), (3.4598302841186523, 3.662186622619629, 0.22125447429595074), (3.4598138332366943, 3.66219162940979, 0.12070806012884948), (3.4597959518432617, 3.6621928215026855, 0.021521790013659548), (3.4597878456115723, 3.6621923446655273, -0.025596707576684623), (3.4597606658935547, 3.66218638420105, -0.1816554638597045), (3.459749221801758, 3.6621806621551514, -0.2557165410747476), (3.459733486175537, 3.6621694564819336, -0.3553628765750158), (3.459721565246582, 3.6621549129486084, -0.44878008505500416), (3.459714412689209, 3.6621406078338623, -0.5331001875836174), (3.459709644317627, 3.6621241569519043, -0.6165539332656371), (3.4597079753875732, 3.6621077060699463, -0.6879075720981935), (3.4597089290618896, 3.6621005535125732, -0.7158722719358973), (3.4597134590148926, 3.662073850631714, -0.8147667609661512), (3.4597208499908447, 3.662057876586914, -0.8683206587856233), (3.4597291946411133, 3.662045955657959, -0.906778493203381), (3.459742784500122, 3.662033796310425, -0.9450268301792774), (3.459756374359131, 3.6620259284973145, -0.9716046148781411), (3.4597723484039307, 3.662020444869995, -0.9903000990873277), (3.459789276123047, 3.662018299102783, -0.999203449127701), (3.4598076343536377, 3.6620192527770996, -0.99806737308711), (3.4598231315612793, 3.662022829055786, -0.9881948033690752), (3.4598305225372314, 3.6620256900787354, -0.9798811402864811), (3.4598536491394043, 3.6620402336120605, -0.9375124264512832), (3.4598660469055176, 3.6620538234710693, -0.8971670746679193), (3.4598724842071533, 3.6620657444000244, -0.8597481496803966), (3.4598782062530518, 3.662081480026245, -0.8063269054745805), (3.4598805904388428, 3.6620988845825195, -0.7435981487109227), (3.4598805904388428, 3.6621174812316895, -0.6715793215179371), (3.4598770141601562, 3.662134885787964, -0.5925660963296526), (3.459869861602783, 3.6621510982513428, -0.5073813840460207), (3.459859609603882, 3.662166118621826, -0.4169123706802737), (3.459846258163452, 3.662177562713623, -0.3245784899248659), (3.4598312377929688, 3.662186861038208, -0.2264861307655298), (3.4598143100738525, 3.6621921062469482, -0.12863147851963996), (3.4597959518432617, 3.66219425201416, -0.02688811774072339), (3.4597809314727783, 3.6621930599212646, 0.05946403687998389), (3.459763526916504, 3.6621885299682617, 0.16089425724845235), (3.459747552871704, 3.6621816158294678, 0.2606487880381976), (3.45974063873291, 3.6621766090393066, 0.3083280490287638), (3.4597220420837402, 3.6621570587158203, 0.4486653196485546), (3.4597184658050537, 3.66215181350708, 0.4834063380233311), (3.4597086906433105, 3.6621265411376953, 0.6123233735351182), (3.459707260131836, 3.6621084213256836, 0.6878157437871127), (3.459707260131836, 3.662100076675415, 0.7230562644077113), (3.4597136974334717, 3.662071943283081, 0.8222120801263175), (3.4597220420837402, 3.662055492401123, 0.875941555079786), (3.4597327709198, 3.662041664123535, 0.9195224744217196), (3.4597465991973877, 3.6620306968688965, 0.9540111120915874), (3.4597628116607666, 3.662022352218628, 0.9795959241126408), (3.4597702026367188, 3.662019729614258, 0.9875673495017533), (3.4597978591918945, 3.662015914916992, 0.999994230363626), (3.459815263748169, 3.662018060684204, 0.9953876052209776), (3.4598228931427, 3.662019968032837, 0.9897635787090243), (3.459838390350342, 3.6620266437530518, 0.9713221502399532), (3.459852933883667, 3.662036180496216, 0.9437748697111346), (3.459871292114258, 3.662057876586914, 0.8804444348201965), (3.459878444671631, 3.6620733737945557, 0.8304627396574064), (3.459882974624634, 3.662091016769409, 0.7693610401028943), (3.459883451461792, 3.662108898162842, 0.7002465606069247), (3.459881067276001, 3.662126064300537, 0.6258829551892606), (3.4598753452301025, 3.6621432304382324, 0.5431343981838951), (3.4598655700683594, 3.662158489227295, 0.45705913966047446), (3.4598541259765625, 3.66217041015625, 0.3713308507464323), (3.4598398208618164, 3.6621809005737305, 0.27476417840931383), (3.4598240852355957, 3.6621885299682617, 0.17791255683932197)]",time out
3,right_door,"(5.294362977035303, 5.5)","[2, 2, 2, 2, 2, 2, 2, 2]","[-10.106750667095184, -9.875157415866852, -9.64577567577362, -9.452813625335693, -9.23730731010437, -8.99957275390625, -8.817186117172241, -198.78299403190613]","[(5.39612980375336, 3.5, 0.6795131133440986), (5.356694221496582, 3.4681355953216553, 0.33338766092829963), (5.318203926086426, 3.437018394470215, 0.33338766092829963), (5.2727155685424805, 3.4002435207366943, 0.33338766092829963), (5.228394031524658, 3.3644118309020996, 0.33338766092829963), (5.184072494506836, 3.328580141067505, 0.33338766092829963), (5.14091682434082, 3.293691396713257, 0.33338766092829963), (5.095428466796875, 3.2569165229797363, 0.33338766092829963), (5.067520618438721, 3.23533034324646, 0.3264156366324389)]",collision
